Source,Target
v1,v2
v1,v3
v1,v4
v1,v5
v2,v3
v2,v4
v2,v5
v2,v19
v3,v4
v3,v5
v3,v6
v3,v16
v4,v5
v4,v10
v4,v13
v4,v18
v5,v18
v5,v19
v6,v7
v6,v8
v6,v9
v6,v10
v6,v18
v6,v19
v7,v8
v7,v10
v7,v13
v7,v14
v7,v18
v8,v10
v8,v14
v8,v15
v9,v10
v9,v15
v9,v18
v9,v19
v10,v14
v10,v17
v10,v18
v10,v19
v11,v12
v12,v13
v13,v14
v14,v15
v14,v16
v14,v18
v14,v19
v14,v21
v15,v17
v15,v18
v15,v19
v15,v20
v16,v18
v16,v19
v17,v18
v17,v19
v18,v19
v18,v21
v18,v22
v19,v20
v19,v21
v19,v22
v20,v31
v21,v22
v21,v24
v21,v28
v21,v30
v22,v23
v22,v25
v22,v29
v23,v26
v24,v27
v25,v29
v25,v31
v26,v31
v26,v32
v27,v28
v27,v29
v28,v29
v28,v30
v30,v31
v32,v33
v33,v34
v33,v35
